text,category
"FINANCIAL REPORT Q3: REVENUE $2.1M EXPENSES $1.5M NET $600K","Financial"
"Q3 FINANCIAL STATEMENT: $2.1 MILLION REVENUE, $600K PROFIT","Financial"
"FINANCIAL DOCUMENT - Q3 RESULTS: $2.1M REVENUE, $1.5M COSTS","Financial"
"Q3 REPORT: $2.1M REVENUE, $1.5M EXPENSES, $600K NET","Financial"
"OFFICIAL FINANCIAL STATEMENT: QUARTER 3 REVENUE $2.1M - PROFIT $600K","Financial" 
"Q3 EARNINGS REPORT: $2.1M IN REVENUE WITH $600K NET INCOME","Financial"
"FINANCIAL DOCUMENT: QUARTERLY RESULTS SHOW $2.1M REVENUE","Financial"
"The financial report shows Q2 earnings of $2.1M and $600K net profit.","Financial"
"Q3 financial results: Revenue $2.1M Expenses $1.5M Net $600K","Financial"
"Profit and loss statement showing $2M revenue and $1.5M costs","Financial"
"Quarterly earnings report with $2.1 million in revenue","Financial"
"Balance sheet showing $5M assets and $3M liabilities","Financial"
"Annual budget forecasting $10M revenue and $8M expenses with $2M net profit","Financial"
"Technical specifications for the new processor model.","Technical"
"Project requirements document outlining software features.","Technical"
"API documentation for version 2.0.","Technical"
"This legal document contains terms and conditions.","Legal"
"Non-disclosure agreement between two parties.","Legal"
"Patent application for new invention.","Legal"